6528|||AgrarGen.Am Kyffhäuser e.G. Einzingen-Riethnordhausen|Wallhausen|936973|3123|034656 5570||Ederslebener Str. 181|||Landwirtschaftliche Produkte Einzelhandel|Agrargenossenschaft Am Kyffhäuser eG Einzingen-Riethnordhausen|http://www.mansfeldsuedharz.de/de/firmenverzeichnis/formulartool.104000000001.119001000019.html
99334|||AGROLAND Agrar e.G.Thörey/Rehestädt|Amt Wachsenburg|927243|3091|036202 21690||Vor dem Dorfe 1 Gewerbegebiet|||Landwirtschaftliche Produkte Einzelhandel|Agroland Agrar E.g. Thörey/rehestädt|None
99752|||ALTIS-Bäuerliche Aktiengesellschaft Bleicherode/Südharz|Bleicherode Stadt|913905|3046|036338 30530||Heerweg 22|||Landschaftsgärtner|ALTIS - Bäuerliche AG Bleicherode/Südharz|http://www.agrar-direktzahlungen.de/EU-Agrarzahlungen+2013+-+ALTIS-B%E4uerliche+Aktiengesellschaft+Bleicherode-S%FCdharz_poi201314052.html
8459|||Agrarunternehmen Lauenhain e. G.|Neukirchen/Pleiße|911016|3037|03762 95850||Dorfstraße 35|||Grosshändler|Agrarunternehmen Lauenhain e.G.|http://www.auleg.de/
1936|||Agrargenossenschaft Laußnitz e.G.|Laußnitz|908184|3027|035795 289880||Gräfenhainer Str. 36|||Unternehmen|Agrargenossenschaft Laußnitz e. G.|None
16259|||Agrarproduktion Oderbruch GmbH &Co. Agrarprodukte KG Neulewin|Neulewin|908127|3027|033452 4980||Neulewin 111||||Agrarproduktion Oderbruch GmbH & Co. Agrarprodukte KG|http://www.agrar-neulewin.de/cms/front_content.php
6249|||Agrarverwaltungsges. Geiseltal mbH & CoKG|Mücheln (Geiseltal) Stadt|898471|2995|034632 22487||Merseburger Str. 4||||Agrar-Verwaltungsgesellschaft Geiseltal mbH & Co. Produk- tions- und Handels KG|http://www.branchenbuchdeutschland.de/branchenbuch/eintrag/agrarverwaltungsgesellschaft-geiseltal-mbh--co-kg--muecheln-81342481.html
39279|||AG Hobeck eG.|Gommern Stadt|891002|2970|039241 9390||Plankenbreite 18|||Landwirtschaftliche Produkte Einzelhandel|Agrargenossenschaft Hobeck e.G.|None
17291|||Agrargen. UM agrar eG Göritz|Göritz|889293|2964|039851 6090||Tornower Damm 1|||Landwirtschaftliche Genossenschaften|Agrargenossenschaft Uckermark agrar eG.|None
2829|||Agrar-Genossenschaft eG Zodel|Neißeaue|884526|2948|035820 60235||Dorfstraße 143A|||Landwirtschaftliche Genossenschaften|Agrargenossenschaft eG Zodel|None
18573|||APV Samtens / Rügen e.G|Rambin|875642|2919|038306 1322||Rothenkirchen 24|||Landmaschinenhändler|Agrar-Produktions- und Vertriebsgemeinschaft Samtens/ Rügen eG|None
6785|||AG Wörlitz eG|Oranienbaum-Wörlitz Stadt|859755|2866|034905 4150||Griesener Str. 33|||Landwirtschaftsbetrieb|Agrargenossenschaft Wörlitz e.G.|http://agrar-woerlitz.de/
3249|||Agrofarm Goßmar eG|Sonnewalde Stadt|859600|2865|035323 332||Finsterwalder Landstraße 2|||Landmaschinenhändler|Agrofarm Goßmar eG|http://www.agrofarm-gossmar.de/
39264|||AgriCo Lindau Naturprodukte AG|Zerbst/Anhalt Stadt|829855|2766|039246 9430||Deetzer Str. 57|||Landwirtschaftsbetrieb|AgriCo Lindauer Naturprodukte AG|http://www.regionalmarke-mittelelbe.de/partner/anbieter/agrico-lindauer-naturprodukte-ag
8626|||Agrofarm 2000 GmbH Eichigt Vogtland|Eichigt|825545|2752|037430 6280||An Der MPA 1|||Landwirtschaftsbetrieb|Agrofarm 2000 GmbH Eichigt/ Vogtland|http://www.agrofarm2000.de/
6386|||APH e. G. Hinsdorf GbR|Südliches Anhalt Stadt|817118|2724|034977 500||Köthener Str. 12 OT|||Landmaschinenhändler|APH e.G. Hinsdorf|http://vsr-gmbh.de/produkte/lb_sa_2008/pdf/p29.pdf
2739|||Agrargenossenschaft Eibau e.G.|Kottmar|812276|2708|03586 30330||Ruppersdorfer Str. 9|||Landmaschinenhändler|Agrargenossenschaft Eibau e.G.|http://www.agrar-eibau.de/
29413|||Agrar-Gen. Bonese|Dähre|802758|2676|039039 239||Hauptstraße 2|||Landwirtschaftliche Produkte Einzelhandel|Agrar-Genossenschaft Bonese e. G.|None
4539|||Agrar GmbH Auligk und Co. KG|Groitzsch Stadt|800845|2669|034296 9630||Gatzen 50|||Landmaschinenhändler|Agrar GmbH Auligk & Co. KG|None
6246|||Agrarprodukt e.G. Schafstädt|Bad Lauchstädt Goethestadt|799141|2664|034636 60258||Nordpromenade 15|||Landwirtschaftsbetrieb|Agrarprodukt e.G. Schafstädt|http://www.agrargenossenschaft-schafstaedt.de/
9623|||Agrar-Genossenschaft  Burgberg eG|Frauenstein Stadt|794919|2650|037326 9020||Zinnwalder Str. 6|||Landwirtschaftsbetrieb|Agrar-Genossenschaft Burgberg e.G.|http://www.agrar-burgberg.de/
17335|||Agrargesellschaft Neuensund mbH|Strasburg (Uckermark) Stadt|793240|2644|039753 2950||Neuensund 32|||Landesprodukte Großhandel|Agrargesellschaft Neuensund mbH|http://www.agrargesellschaft-neuensund.de/
38486|||AG Dr.Schultz Lupitz e.G. Kusey|Klötze Stadt|790476|2635|039005 243||Köckter Weg 4|||Landwirtschaftliche Produkte Einzelhandel|Agrargenossenschaft Dr. Schultz-Lupitz e. G. Kusey|None
1683|||Agrarunternehmen e.G. Starbach-Sachsen|Nossen Stadt|788106|2627|035242 67794||Am Bahndamm 1|||Landwirtschaftsbetrieb|Agrarunternehmen Starbach-Sachsen eG|None
18246|||Agrargenossenschaft e.G. Jürgenshagen|Jürgenshagen|779242|2597|038466 20238||Gischower Weg 116A|||Landwirtschaftliche Produkte Einzelhandel|Agrargenossenschaft Jürgenshagen eG|None
3185|||Agrargenossenschaft Vorspreewald eG|Turnow-Preilack|773180|2577|035601 8130||Frankfurter Str. 1|||Landwirtschaftliche Produkte Einzelhandel|Agrargenossenschaft Vorspreewald eG|None
9385|||Agrargenossenschaft MAVEK eG|Lugau/Erzgeb. Stadt|768284|2561|037295 2478||Dorfstraße 1|||Landmaschinenhändler|Agrargenossenschaft Mavek eG|http://mavek.de/
